"Input","Algorithm","Time","Moves","Visited"
"125064738","a_star_manhattan","0:00:05.560141","None","181440"
"713486520","a_star_manhattan","0:00:05.370892","None","181440"
"213786405","greedy_hamming","0:00:00.011379","75","521"
"065831247","dfs","0:00:02.896120","None","181440"
"065831247","a_star_manhattan","0:00:05.132452","None","181440"
"213786405","greedy_manhattan","0:00:00.008507","57","344"
"065831247","bfs","0:00:07.752789","None","181440"
"104365827","a_star_hamming","0:00:04.900200","None","181440"
"730185462","bfs","0:00:07.092590","None","181440"
"042516378","bfs","0:00:04.026798","24","134997"
"745280613","a_star_manhattan","0:00:05.386600","None","181440"
"125064738","greedy_manhattan","0:00:10.519477","None","181440"
"213786405","bfs","0:00:01.492022","21","64480"
"062134587","bfs","0:00:00.103701","16","8130"
"213786405","dfs","0:00:01.067974","67659","70602"
"065831247","a_star_hamming","0:00:05.057469","None","181440"
"042516378","greedy_manhattan","0:00:00","30","207"
"830216745","dfs","0:00:03.476618","None","181440"
"830216745","greedy_hamming","0:00:04.153062","None","181440"
"104365827","greedy_hamming","0:00:04.206997","None","181440"
"730185462","dfs","0:00:02.908623","None","181440"
"713486520","dfs","0:00:02.812273","None","181440"
"104365827","bfs","0:00:08.059906","None","181440"
"104365827","dfs","0:00:02.876426","None","181440"
"713486520","greedy_manhattan","0:00:09.753208","None","181440"
"745280613","greedy_manhattan","0:00:10.310099","None","181440"
"713486520","greedy_hamming","0:00:04.250312","None","181440"
"125064738","dfs","0:00:03.069641","None","181440"
"042516378","greedy_hamming","0:00:00.006034","98","425"
"125064738","bfs","0:00:07.661274","None","181440"
"042516378","dfs","0:00:00.495931","35796","36776"
"745280613","bfs","0:00:08.000690","None","181440"
"830216745","a_star_manhattan","0:00:05.658290","None","181440"
"830216745","a_star_hamming","0:00:05.375444","None","181440"
"125064738","greedy_hamming","0:00:04.549838","None","181440"
"213786405","a_star_hamming","0:00:00.079750","21","5346"
"830216745","bfs","0:00:08.466015","None","181440"
"042516378","a_star_hamming","0:00:00.290005","24","17783"
"062134587","greedy_hamming","0:00:00.009371","158","643"
"062134587","greedy_manhattan","0:00:00.005930","46","173"
"104365827","greedy_manhattan","0:00:10.406324","None","181440"
"213786405","a_star_manhattan","0:00:00.020224","21","1223"
"730185462","greedy_manhattan","0:00:10.251165","None","181440"
"730185462","a_star_hamming","0:00:04.837292","None","181440"
"062134587","a_star_manhattan","0:00:00","16","58"
"713486520","bfs","0:00:07.220045","None","181440"
"745280613","greedy_hamming","0:00:04.186707","None","181440"
"745280613","dfs","0:00:02.740698","None","181440"
"830216745","greedy_manhattan","0:00:10.125312","None","181440"
"125064738","a_star_hamming","0:00:04.800858","None","181440"
"062134587","dfs","0:00:01.580120","96164","102770"
"065831247","greedy_hamming","0:00:04.560654","None","181440"
"065831247","greedy_manhattan","0:00:11.694908","None","181440"
"730185462","a_star_manhattan","0:00:05.365894","None","181440"
"730185462","greedy_hamming","0:00:04.425356","None","181440"
"104365827","a_star_manhattan","0:00:05.354373","None","181440"
"745280613","a_star_hamming","0:00:05.469639","None","181440"
"062134587","a_star_hamming","0:00:00.004217","16","469"
"042516378","a_star_manhattan","0:00:00.015066","24","958"
"713486520","a_star_hamming","0:00:05.230886","None","181440"
